tree_id	block_id	created_at	tree_dbh	stump_diam	curb_loc	status	health	spc_latin	spc_common	steward	guards	sidewalk	user_type	problems	root_stone	root_grate	root_other	trunk_wire	trnk_light	trnk_other	brch_light	brch_shoe	brch_other	address	postcode	zip_city	community board	borocode	borough	cncldist	st_assem	st_senate	nta	nta_name	boro_ct	state	latitude	longitude	x_sp	y_sp	council district	census tract	bin	bbl
192892	210568	2015-08-31T00:00:00.000	8	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	None	None	NoDamage	TreesCount Staff	BranchLights	No	No	No	No	No	No	Yes	No	No	3792 BEDFORD AVENUE	11229	Brooklyn	315	3	Brooklyn	48	41	17	BK44	Madison	3054800	New York	40.60963578	-73.94855771	998533.2939	161387.3361	48	548	3253757	3067870038
206381	105376	2015-09-06T00:00:00.000	10	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	1or2	Harmful	NoDamage	Volunteer	RootOther	No	No	Yes	No	No	No	No	No	No	400 2 AVENUE	10010	New York	106	1	Manhattan	2	74	27	MN21	Gramercy	1006400	New York	40.73815531	-73.98054734	989640.7628	208207.0859	2	64	1084709	1009290001
187061	106107	2015-08-29T00:00:00.000	6	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Unsure	NoDamage	NYC Parks Staff	MetalGrates,TrunkOther	No	Yes	No	No	No	Yes	No	No	No	25 CENTRAL PARK WEST	10023	New York	107	1	Manhattan	6	75	27	MN14	Lincoln Square	1014900	New York	40.77005069	-73.98079175	989570.4834	219827.5922	6	149	1076225	1011157501
189365	223743	2015-08-30T00:00:00.000	8	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	3or4	Helpful	Damage	Volunteer	None	No	No	No	No	No	No	No	No	No	200 STERLING PLACE	11217	Brooklyn	306	3	Brooklyn	39	52	20	BK64	Prospect Heights	3016100	New York	40.67672539	-73.97265212	991835.6912	185826.9023	39	159	3029309	3011690009
200381	408850	2015-09-03T00:00:00.000	3	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	2086 RICHMOND AVENUE	10314	Staten Island	502	5	Staten Island	50	63	24	SI05	New Springville-Bloomfield-Travis	5029103	New York	40.59666002	-74.16220431	939204.1639	156697.4468	50	29103	5035472	5021020102
198290	313012	2015-09-02T00:00:00.000	7	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	Damage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	140-040 31 DRIVE	11354	Flushing	407	4	Queens	20	40	16	QN22	Flushing	4088901	New York	40.76980427	-73.82714606	1032128.869	219784.4709	20	88901	4467432	4044140045
190087	301004	2015-08-30T00:00:00.000	8	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	None	None	NoDamage	Volunteer	Stones,WiresRope,BranchLights	Yes	No	No	Yes	No	No	Yes	No	No	25-010 BROADWAY	11106	Astoria	401	4	Queens	22	36	12	QN70	Astoria	4005300	New York	40.7631618	-73.92810436	1004166.395	217325.3305	22	53	4007156	4005800020
190421	106099	2015-08-30T00:00:00.000	14	0	OnCurb	Alive	Good	Gleditsia triacanthos var. inermis	honeylocust	1or2	Helpful	NoDamage	Volunteer	None	No	No	No	No	No	No	No	No	No	8 COLUMBUS AVENUE	10023	New York	107	1	Manhattan	3	67	27	MN14	Lincoln Square	1014500	New York	40.77000454	-73.98485279	988445.6205	219810.5598	3	145	1076229	1011310031
181446	208032	2015-08-28T00:00:00.000	24	0	OnCurb	Alive	Good	Ginkgo biloba	ginkgo	None	None	Damage	NYC Parks Staff	Stones	Yes	No	No	No	No	No	No	No	No	160 IRWIN STREET	11235	Brooklyn	315	3	Brooklyn	48	45	22	BK17	Sheepshead Bay-Gerritsen Beach-Manhattan Beach	3062000	New York	40.57887248	-73.94378432	999865.8503	150180.3034	48	620	3246492	3087510431
199062	107043	2015-09-03T00:00:00.000	4	0	OnCurb	Alive	Good	Malus	crab apple	None	None	NoDamage	TreesCount Staff	None	No	No	No	No	No	No	No	No	No	1880 BROADWAY	10023	New York	107	1	Manhattan	3	75	27	MN14	Lincoln Square	1014500	New York	40.77038983	-73.98213047	989199.6459	219951.0743	3	145	1087510	1011147503
