tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
204024,218365,2015-09-05,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,400 MORGAN AVENUE,Brooklyn
193394,340964,2015-09-01,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,34-041 78 STREET,Queens
195249,102084,2015-09-01,15,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,Damage,StonesBranchOther,No,No,130 WEST 11 STREET,Manhattan
208919,302092,2015-09-08,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,StonesBranchLights,No,No,23-004 CRESCENT STREET,Queens
190437,106099,2015-08-30,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,155 WEST 60 STREET,Manhattan
208200,219258,2015-09-07,13,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,Damage,Stones,No,No,20 WILLOUGHBY AVENUE,Brooklyn
209557,503968,2015-09-08,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,RootOtherBranchOther,No,No,1615 GRAND AVENUE,Bronx
182847,221481,2015-08-28,6,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,NoDamage,MetalGrates,No,No,854 MYRTLE AVENUE,Brooklyn
210642,104029,2015-09-08,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,Stones,No,No,842 9 AVENUE,Manhattan
153586,230993,2015-08-17,8,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,Damage,None,No,No,226 ARGYLE ROAD,Brooklyn
171066,230879,2015-08-24,3,0,OnCurb,Alive,Good,Quercus alba,white oak,NoDamage,None,No,No,911 FLATBUSH AVENUE,Brooklyn
184051,505530,2015-08-29,10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,Damage,None,No,No,605 EAST 188 STREET,Bronx
171519,406551,2015-08-24,3,0,OnCurb,Alive,Good,Quercus alba,white oak,NoDamage,None,No,No,480 LIBERTY AVENUE,Staten Island
198323,411849,2015-09-02,11,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,Damage,None,No,No,105 RAMONA AVENUE,Staten Island
